Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,market_cap
532048,Malvica Engineering Ltd.,MALVICAE,MALVICA ENGINEERING LTD.,Delisted,XD,10.0,INE008D01019, ,Equity,-,-,-,-,
532049,"Alkyl Amines Chemicals Ltd.,",ALAMCHE,ALAMCHE,Delisted,Z ,10.0,NA          , ,Equity,-,-,-,-,
532050,Priyadarshini Fabs Ltd.,PRIYFAB,PRIYADARSHINI FABS LTD.,Delisted,P ,10.0,NA          , ,Equity,-,-,-,-,
532051,Swelect Energy Systems Limited,SWELECTES,Swelect Energy Systems Limited-$,Active,B ,10.0,INE409B01013,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,15158760
532052,Uma Fabrics Ltd.,UMAFABR,UMA FABRICS LTD.,Delisted,Z ,10.0,NA          , ,Equity,-,-,-,-,
532053,Wallfort Financial Services Ltd.,WALLFORT,WALLFORT FINANCIAL SERVICES LTD.,Active,XT,10.0,INE121B01014,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,9687200
532054,KDDL Ltd,KDDL,KDDL LTD.-$,Active,B ,10.0,INE291D01011,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",12537117
532055,Rashel Agrotech Ltd.,RASHELAG,RASHEL AGROTECH LTD.,Delisted,Z ,10.0,INE029D01015, ,Equity,-,-,-,-,
532056,Adinath Exim Resources Ltd.,ADIEXRE,ADINATH EXIM RESOURCES LTD.,Active,X ,10.0,INE398H01015,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,4319100
532057,Abhinav Capital Services Limited,ABHICAP,ABHINAV CAPITAL SERVICES LTD.,Active,XT,10.0,INE516F01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),6924600
532058,Gujarat Arth Ltd.,GUJARTH,GUJARAT ARTH LTD.,Delisted,Z ,10.0,INE852B01014, ,Equity,-,-,-,-,
532060,Elque Polyesters Ltd.,ELQPO,ELQUE POLYESTERS LTD.,Delisted,P ,10.0,INE085E01015, ,Equity,-,-,-,-,42793500
532061,Greenview Power Projects Ltd.,GRPWRPR,GREENVIEW POWER PROJECTS LTD.,Delisted,Z ,10.0,NA          , ,Equity,-,-,-,-,
532063,Galvani Batteries Ltd.,GALBATR,GALVANI BATTERIES LTD.,Delisted,Z ,10.0,NA          , ,Equity,-,-,-,-,
532064,Automotive Stampings and Assemblies Ltd.,AUTOMO STAM,AUTOMO STAM,Delisted,Z ,5.0,-, ,Equity,-,-,-,-,
532065,Taurus-'Libra Leap Scheme   [open ended sch.],HBLIBRL,HBLIBRL,Delisted,Z ,10.0,NA          , ,Equity,-,-,-,-,
532067,3B BlackBio Dx Limited,3BBLACKBIO,3B BlackBio Dx Ltd,Active,X ,10.0,INE994E01018,Healthcare Service Provider,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,8582670
532068,Aramusk Infrastructure Investments Ltd,ARAMUSK,ARAMUSK INFRASTRUCTURE INVESTMENTS LTD.,Delisted,Z ,10.0,INE126F01014, ,Equity,-,-,-,-,
532069,Pasupati Fabrics Ltd.,PASUPATIF,PASUPATI FABRICS LTD.,Delisted,B ,10.0,INE095D01016, ,Equity,-,-,-,-,
532070,Sumuka Agro Industries Limited,SUMUKA,Sumuka Agro Industries Ltd,Active,X ,10.0,INE311N01016,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,7107170
