Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
532672,Glodyne Technoserve Ltd,GLODYNE,GLODYNE TECHNOSERVE LTD.,Delisted,Z ,6.00,INE932G01021, ,Equity,-,-,-,-
532673,K. M. Sugar Mills Ltd.,KMSUGAR,K.M.SUGAR MILLS LTD.,Active,B ,2.00,INE157H01023,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
532674,Bannari Amman Spinning Mills Ltd,BASML,BANNARI AMMAN SPINNING MILLS LTD.,Active,B ,5.00,INE186H01022,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
532675,Prithvi Information Solutions Ltd.,PRITHVI,PRITHVI INFORMATION SOLUTIONS LTD.,Delisted,Z ,10.00,INE700C01013, ,Equity,-,-,-,-
532676,PBA INFRASTRUCTURE LTD.,PBAINFRA,PBA INFRASTRUCTURE LTD.,Active,B ,10.00,INE160H01019,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
532677,VIKASH METAL AND POWER LTD.,VIKASHMET,VIKASH METAL & POWER LTD.,Delisted,T ,10.00,INE158H01013, ,Equity,-,-,-,-
532678,Bombay Rayon Fashions Ltd.,BRFL,BOMBAY RAYON FASHIONS LTD.,Suspended,Z ,10.00,INE589G01011,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
532679,SORIL Infra Resources Limited,SORILINFRA,SORIL Infra Resources Ltd,Delisted,B ,10.00,INE034H01016,Diversified,Equity,Diversified,Diversified,Diversified,Diversified
532680,Prime Securities Ltd.,PRIMESEBBPH,PRIMESEBBPH,Delisted,B ,5.00,-, ,Equity,-,-,-,-
532681,Indiabulls Financial Services Ltd.,IBULLSBBPH,IBULLSBBPH,Delisted,B ,2.00,-, ,Equity,-,-,-,-
532682,ABG Shipyard Ltd.,ABGSHIP,ABG SHIPYARD LTD.,Delisted,Z ,10.00,INE067H01016, ,Equity,-,-,-,-
532683,AIA Engineering Ltd.,AIAENG,AIA ENGINEERING LTD.,Active,A ,2.00,INE212H01026,Castings & Forgings,Equity,Industrials,Capital Goods,Industrial Products,Castings & Forgings
532684,Everest Kanto Cylinders Ltd.,EKC,EVEREST KANTO CYLINDER LTD.,Active,B ,2.00,INE184H01027,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
532685,Kama Holdings Limited,SRFPOLYBBPH,SRFPOLYBBPH,Delisted,B ,10.00,-, ,Equity,-,-,-,-
532686,Kernex Microsystems (India) Ltd.,KERNEX,KERNEX MICROSYSTEMS (INDIA) LTD.,Active,B ,10.00,INE202H01019,Transport Related Services,Equity,Services,Services,Transport Services,Transport Related Services
532687,Repro India Ltd.,REPRO,REPRO INDIA LTD.,Active,B ,10.00,INE461B01014,Printing & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
532688,Compulink Systems Ltd.,COMSYS,COMPULINK SYSTEMS LTD.,Delisted,B ,10.00,INE206H01010, ,Equity,-,-,-,-
532689,PVR INOX LIMITED,PVRINOX,PVR Inox Ltd,Active,A ,10.00,INE191H01014,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
532690,Ramsarup Industries Ltd.,RAMSARUP,RAMSARUP INDUSTRIES LTD.,Delisted,Z ,10.00,INE005D01015,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
532691,Tulip Telcom Ltd,TULIP,TULIP TELECOM LTD.,Delisted,Z ,2.00,INE122H01027, ,Equity,-,-,-,-
532692,Radha Madhav Corporation Ltd.,RMCL,RADHA MADHAV CORPORATION LTD.,Suspended,Z ,10.00,INE172H01014,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
