SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
PPAP,PPAP Automotive Limited,EQ,11-JAN-2008,10,1,INE095I01015,10
PPL,Prakash Pipes Limited,EQ,14-JUN-2019,10,1,INE050001010,10
PPLPHARMA,Piramal Pharma Limited,EQ,19-OCT-2022,10,1,INE0DK501011,10
PRAENG,Prajay Engineers Syndicate Limited,BE,02-JAN-2007,10,1,INE505C01016,10
PRAJIND,Praj Industries Limited,EQ,11-OCT-1995,2,1,INE074A01025,2
PRAKASH,Prakash Industries Limited,EQ,10-MAY-1995,10,1,INE603A01013,10
PRAKASHSTL,Prakash Steelage Limited,BE,25-AUG-2010,1,1,INE696K01024,1
PRAXIS,Praxis Home Retail Limited,BE,31-JAN-2018,5,1,INE546Y01022,5
PRECAM,Precision Camshafts Limited,EQ,08-FEB-2016,10,1,INE484I01029,10
PRECOT,Precot Limited,BE,19-AUG-2005,10,1,INE283A01014,10
PRECWIRE,Precision Wires India Limited,EQ,06-SEP-1995,1,1,INE372C01037,1
PREMEXPLN,Premier Explosives Limited,EQ,17-JUN-2016,10,1,INE863B01011,10
PREMIER,Premier Limited,BE,03-APR-1996,10,1,INE342A01018,10
PREMIERPOL,Premier Polyfilm Limited,EQ,13-DEC-1995,5,1,INE309M01012,5
PRESTIGE,Prestige Estates Projects Limited,EQ,27-OCT-2010,10,1,INE811K01011,10
PRICOLLTD,Pricol Limited,EQ,10-FEB-2017,1,1,INE726V01018,1
PRIMESECU,Prime Securities Limited,EQ,17-JUN-2005,5,1,INE032B01021,5
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ,30-DEC-2019,10,1,INE689W01016,10
PRITI,Priti International Limited,EQ,02-MAR-2022,10,1,INE974Z01015,10
PRITIKAUTO,Pritika Auto Industries Limited,BE,10-AUG-2021,2,1,INE583R01029,2
PRIVISCL,Privi Speciality Chemicals Limited,EQ,08-MAY-2015,10,1,INE959A01019,10
PROZONER,Prozone Realty Limited,EQ,12-SEP-2012,2,1,INE195N01013,2
PRSMJOHNSN,Prism Johnson Limited,EQ,20-AUG-2003,10,1,INE010A01011,10
PRUDENT,Prudent Corporate Advisory Services Limited,EQ,20-MAY-2022,5,1,INE00F201020,5
PRUDMOULI,Prudential Sugar Corporation Limited,BE,10-MAY-1995,10,1,INE024D01016,10
PSB,Punjab & Sind Bank,EQ,30-DEC-2010,10,1,INE608A01012,10
PSPPROJECT,PSP Projects Limited,EQ,29-MAY-2017,10,1,INE488V01015,10
PTC,PTC India Limited,EQ,07-APR-2004,10,1,INE877F01012,10
PTCIL,PTC Industries Limited,EQ,09-JUN-2023,10,1,INE596F01018,10
PTL,PTL Enterprises Limited,EQ,29-JAN-2007,1,1,INE034D01049,1
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,08-MAR-2007,10,1,INE277B01014,10
PURVA,Puravankara Limited,BE,30-AUG-2007,5,1,INE323I01011,5
PVP,PVP Ventures Limited,EQ,03-APR-1996,10,1,INE362A01016,10
PVRINOX,PVR INOX Limited,EQ,04-JAN-2006,10,1,INE191H01014,10
PVSL,Popular Vehicles and Services Limited,EQ,19-MAR-2024,2,1,INE772T01024,2
PYRAMID,Pyramid Technoplast Limited,EQ,29-AUG-2023,10,1,INE0MIS01010,10
QUESS,Quess Corp Limited,EQ,12-JUL-2016,10,1,INE615P01015,10
QUICKHEAL,Quick Heal Technologies Limited,EQ,18-FEB-2016,10,1,INE306L01010,10
RACE,Race Eco Chain Limited,EQ,09-MAY-2023,10,1,INE084Q01012,10
RADAAN,Radaan Mediaworks India Limited,BE,27-FEB-2003,2,1,INE874F01027,2
RADHIKAJWE,Radhika Jeweltech Limited,EQ,18-JUL-2022,2,1,INE583V01021,2
RADIANTCMS,Radiant Cash Management Services Limited,EQ,04-JAN-2023,1,1,INE855R01021,1
RADICO,Radico Khaitan Limited,EQ,18-JUN-2003,2,1,INE944F01028,2
RADIOCITY,Music Broadcast Limited,EQ,17-MAR-2017,2,1,INE919I01024,2
RAILTEL,Railtel Corporation Of India Limited,EQ,26-FEB-2021,10,1,INE0DD101019,10
RAIN,Rain Industries Limited,EQ,03-MAR-2008,2,1,INE855B01025,2
RAINBOW,Rainbow Childrens Medicare Limited,EQ,10-MAY-2022,10,1,INE961O01016,10
