SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,market_cap
SGIL,Synergy Green Industries Limited,EQ,28-JUL-2021,10,1,INE00QT01015,10,14130000
SGL,STL Global Limited,EQ,10-APR-2006,10,1,INE353H01010,10,26990915
SHAH,Shah Metacorp Limited,EQ,27-OCT-2010,1,1,INE482J01021,1,419078676
SHAHALLOYS,Shah Alloys Limited,BE,16-JUN-2005,10,1,INE640C01011,10,19797540
SHAILY,Shaily Engineering Plastics Limited,EQ,04-APR-2022,2,1,INE151G01028,2,45867510
SHAKTIPUMP,Shakti Pumps (India) Limited,BE,29-JAN-2015,10,1,INE908D01010,10,20035100
SHALBY,Shalby Limited,EQ,15-DEC-2017,10,1,INE597J01018,10,108009770
SHALPAINTS,Shalimar Paints Limited,EQ,03-MAR-2008,2,1,INE849C01026,2,83711178
SHANKARA,Shankara Building Products Limited,EQ,05-APR-2017,10,1,INE274V01019,10,22849326
SHANTI,Shanti Overseas (India) Limited,BE,16-SEP-2021,10,1,INE933X01016,10,11106000
SHANTIGEAR,Shanthi Gears Limited,EQ,17-JAN-1996,1,1,INE631A01022,1,76715853
SHARDACROP,Sharda Cropchem Limited,EQ,23-SEP-2014,10,1,INE221J01015,10,90220495
SHARDAMOTR,Sharda Motor Industries Limited,EQ,03-SEP-2015,2,1,INE597I01028,2,29731630
SHAREINDIA,Share India Securities Limited,EQ,21-SEP-2020,10,1,INE932X01018,10,38142276
SHEMAROO,Shemaroo Entertainment Limited,EQ,01-OCT-2014,10,1,INE363M01019,10,27226349
SHILPAMED,Shilpa Medicare Limited,EQ,03-DEC-2009,1,1,INE790G01031,1,97790908
SHIVALIK,Shivalik Rasayan Limited,EQ,09-DEC-2021,5,1,INE788J01021,5,15560365
SHIVAMAUTO,Shivam Autotech Limited,EQ,21-NOV-2006,2,1,INE637H01024,2,122222222
SHIVAMILLS,Shiva Mills Limited,EQ,26-FEB-2018,10,1,INE644Y01017,10,8641808
SHIVATEX,Shiva Texyarn Limited,BE,26-DEC-2017,10,1,INE705C01020,10,12962713
SHK,S H Kelkar and Company Limited,EQ,16-NOV-2015,10,1,INE500L01026,10,138420801
SHOPERSTOP,Shoppers Stop Limited,EQ,23-MAY-2005,5,1,INE498B01024,5,109949497
SHRADHA,Shradha Infraprojects Limited,EQ,22-OCT-2020,5,1,INE715Y01023,5,20249392
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-JAN-2020,10,1,INE232A01011,10,147406778
SHREECEM,SHREE CEMENT LIMITED,EQ,26-APR-1995,10,1,INE070A01015,10,36080748
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-SEP-2015,10,1,INE712K01011,10,31625880
SHREERAMA,Shree Rama Multi-Tech Limited,BE,13-MAR-2000,5,1,INE879A01019,5,133468005
SHRENIK,Shrenik Limited,EQ,02-AUG-2019,1,1,INE632X01030,1,612000000
SHREYANIND,Shreyans Industries Limited,EQ,06-NOV-1996,10,1,INE231C01019,10,13824550
SHREYAS,Shreyas Shipping & Logistics Limited,EQ,01-MAR-1995,10,1,INE757B01015,10,21957533
SHRIPISTON,Shriram Pistons & Rings Limited,EQ,02-JUN-2016,10,1,INE526E01018,10,44049824
SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996,10,1,INE721A01013,10,375792810
SHRIRAMPPS,Shriram Properties Limited,EQ,20-DEC-2021,10,1,INE217L01019,10,170326026
SHYAMCENT,Shyam Century Ferrous Limited,BE,28-JUL-2015,1,1,INE979R01011,1,212172990
SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-JUN-2021,10,1,INE810G01011,10,279131853
SHYAMTEL,Shyam Telecom Limited,EQ,06-NOV-2006,10,1,INE635A01023,10,11270000
SICALLOG,Sical Logistics Limited,BE,12-OCT-2023,10,1,INE075B01020,10,65249080
SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,1,INE003A01024,2,356120255
SIGACHI,Sigachi Industries Limited,EQ,15-NOV-2021,1,1,INE0D0K01022,1,328194980
SIGIND,Signet Industries Limited,EQ,29-AUG-2018,10,1,INE529F01035,10,29437000
SIGMA,Sigma Solve Limited,EQ,09-JUN-2023,10,1,INE0A0S01010,10,10277498
SIGNATURE,Signatureglobal (India) Limited,EQ,27-SEP-2023,1,1,INE903U01023,1,140510691
SIGNPOST,Signpost India Limited,EQ,14-FEB-2024,2,1,INE0KGZ01021,2,53450000
SIKKO,Sikko Industries Limited,EQ,22-OCT-2021,10,1,INE112X01017,10,16800000
SIL,Standard Industries Limited,EQ,27-JAN-2004,5,1,INE173A01025,5,64328941
SILGO,Silgo Retail Limited,BE,03-MAR-2021,10,1,INE01II01013,10,18496802
SILINV,SIL Investments Limited,EQ,22-MAY-1996,10,1,INE923A01015,10,10595860
SILLYMONKS,Silly Monks Entertainment Limited,EQ,08-JUL-2020,10,1,INE203Y01012,10,10211300
SILVERTUC,Silver Touch Technologies Limited,EQ,12-MAY-2022,10,1,INE625X01018,10,12681000
SIMBHALS,Simbhaoli Sugars Limited,EQ,14-MAR-2016,10,1,INE748T01016,10,41279020
SIMPLEXINF,Simplex Infrastructures Limited,BE,09-MAR-2004,2,1,INE059B01024,2,57142820
SINCLAIR,Sinclairs Hotels Limited,EQ,10-APR-2024,2,1,INE985A01022,2,51260000
SINDHUTRAD,Sindhu Trade Links Limited,EQ,20-JUN-2023,1,1,INE325D01025,1,1541928780
SINTERCOM,Sintercom India Limited,EQ,07-OCT-2020,10,1,INE129Z01016,10,27527822
SIRCA,Sirca Paints India Limited,EQ,22-JUL-2019,10,1,INE792Z01011,10,54808800
SIS,SIS LIMITED,EQ,10-AUG-2017,5,1,INE285J01028,5,144100390
SIYSIL,Siyaram Silk Mills Limited,EQ,29-JAN-2007,2,1,INE076B01028,2,45370088
SJS,S.J.S. Enterprises Limited,EQ,15-NOV-2021,10,1,INE284S01014,10,31037904
SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,INE002L01015,10,3929795175
SKFINDIA,SKF India Limited,EQ,27-JAN-1999,10,1,INE640A01023,10,49437963
SKIPPER,Skipper Limited,EQ,27-MAY-2015,1,1,INE439E01022,1,102670212
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-MAR-1997,10,1,INE411D01015,10,26330000
SKYGOLD,Sky Gold Limited,BE,06-JAN-2023,10,1,INE01IU01018,10,13237205
SMARTLINK,Smartlink Holdings Limited,EQ,11-APR-2001,2,1,INE178C01020,2,9975000
SMCGLOBAL,SMC Global Securities Limited,EQ,24-FEB-2021,2,1,INE103C01036,2,104700000
SMLISUZU,SML Isuzu Limited,EQ,29-AUG-2003,10,1,INE294B01019,10,14471646
SMLT,Sarthak Metals Limited,BE,25-NOV-2021,10,1,INE017W01010,10,13689750
SMSLIFE,SMS Lifesciences India Limited,EQ,17-AUG-2017,10,1,INE320X01016,10,3023287
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-FEB-2007,1,1,INE812G01025,1,84652030
SNOWMAN,Snowman Logistics Limited,EQ,12-SEP-2014,10,1,INE734N01019,10,167087995
SOBHA,Sobha Limited,EQ,20-DEC-2006,10,1,INE671H01015,10,94845853
SOFTTECH,Softtech Engineers Limited,BE,25-FEB-2022,10,1,INE728Z01015,10,12819140
SOLARA,Solara Active Pharma Sciences Limited,EQ,27-JUN-2018,10,1,INE624Z01016,10,35996267
SOLARINDS,Solar Industries India Limited,EQ,03-APR-2006,2,1,INE343H01029,2,90490055
SOMANYCERA,Somany Ceramics Limited,EQ,22-NOV-1995,2,1,INE355A01028,2,41003620
SOMATEX,Soma Textiles & Industries Limited,EQ,14-AUG-1996,10,1,INE314C01013,10,33033000
SOMICONVEY,Somi Conveyor Beltings Limited,BE,18-JUL-2016,10,1,INE323J01019,10,11779656
SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021,10,1,INE073K01018,10,586447778
SONAMLTD,SONAM LIMITED,EQ,07-APR-2022,10,1,INE00LM01011,10,20016000
